Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26
6/19/2024;16:02:37;0;greeenland;0;7.23;0;-0.055;6.59;1.27;0;103.5;104.9;11;-0.079;0;0;1.54;1.54;0;5.24;86.6;12.596;-0.058;6.1;0
6/19/2024;16:02:39;0;greeenland;-0.01;7.19;0;-0.055;6.58;1.27;0;103.5;104.8;11;-0.078;0;0;1.51;1.51;0;5.24;86.6;12.587;-0.047;6.1;0
6/19/2024;16:02:41;0;greeenland;0.01;7.25;0;-0.055;6.57;1.27;0;103.4;104.8;11;-0.078;0;0;1.49;1.49;0;5.24;86.6;12.572;-0.056;6.1;0
6/19/2024;16:02:43;0;greeenland;-0.01;7.21;0;-0.055;6.57;1.26;0;103.4;104.8;11.01;-0.078;0;0;1.48;1.48;0;5.24;86.5;12.56;-0.048;6.1;0
6/19/2024;16:02:45;0;greeenland;0;7.25;0;-0.055;6.58;1.27;0;103.4;104.8;11.01;-0.079;0;0;1.48;1.48;0;5.24;86.5;12.551;-0.058;6.1;0
6/19/2024;16:02:47;0;greeenland;0.01;7.27;0;-0.055;6.59;1.27;0;103.4;104.8;11.01;-0.078;0;0;1.48;1.48;0;5.24;86.4;12.545;-0.055;6.1;0
6/19/2024;16:02:49;0;greeenland;0.02;7.3;0;-0.055;6.58;1.27;0;103.4;104.8;11.01;-0.078;0;0;1.48;1.48;0;5.25;86.3;12.531;-0.051;6.1;0
6/19/2024;16:02:51;0;greeenland;0.03;7.31;0;-0.055;6.59;1.27;0;103.4;104.8;11.01;-0.078;0;0;1.48;1.48;0;5.36;79.7;12.516;-0.055;6.1;0
6/19/2024;16:02:53;0;greeenland;0.03;7.32;0;-0.055;6.59;1.27;0;103.4;104.8;11.02;-0.078;0;0;1.46;1.46;0;5.46;74.1;12.504;-0.05;6.11;0
6/19/2024;16:02:55;0;greeenland;0.04;7.36;0;-0.055;6.59;1.27;0;103.4;104.8;11.02;-0.078;0;0;1.45;1.45;0;5.2;89;12.492;-0.056;6.11;0
6/19/2024;16:02:57;0;greeenland;0.03;7.33;0;-0.054;6.59;1.27;0;103.4;104.8;11.02;-0.077;0;0;1.47;1.47;0;5.18;90.2;12.477;-0.058;6.11;0
6/19/2024;16:02:59;0;greeenland;0.04;7.35;0;-0.055;6.6;1.27;0;103.4;104.8;11.03;-0.078;0;0;1.49;1.49;0;5.18;90.2;12.465;-0.056;6.11;0
6/19/2024;16:03:01;0;greeenland;0.04;7.37;0;-0.055;6.6;1.28;0;103.4;104.8;11.03;-0.078;0;0;1.49;1.49;0;5.18;90;12.462;-0.058;6.11;0
6/19/2024;16:03:03;0;greeenland;0.06;7.4;0;-0.055;6.61;1.28;0;103.5;104.9;11.04;-0.078;0;0;1.51;1.51;0;5.18;89.8;12.464;-0.053;6.1;0
6/19/2024;16:03:05;0;greeenland;0.08;7.47;0;-0.055;6.59;1.27;0;103.6;104.9;11.04;-0.078;0;0;1.51;1.51;0;5.19;89.5;12.47;-0.061;6.1;0
6/19/2024;16:03:07;0;greeenland;0.07;7.46;0;-0.055;6.59;1.27;0;103.6;105;11.05;-0.078;0;0;1.5;1.5;0;5.19;89.2;12.48;-0.049;6.1;0
6/19/2024;16:03:09;0;greeenland;0.07;7.43;0;-0.055;6.59;1.27;0;103.6;105;11.05;-0.078;0;0;1.49;1.49;0;5.2;89;12.491;-0.062;6.1;0
6/19/2024;16:03:11;0;greeenland;0.04;7.37;0;-0.055;6.58;1.27;0;103.7;105;11.05;-0.078;0;0;1.49;1.49;0;5.2;88.7;12.503;-0.05;6.1;0
6/19/2024;16:03:13;0;greeenland;0.05;7.38;0;-0.055;6.58;1.27;0;103.7;105;11.04;-0.078;0;0;1.48;1.48;0;5.21;88.6;12.51;-0.062;6.1;0
6/19/2024;16:03:15;0;greeenland;0.04;7.35;0;-0.055;6.59;1.27;0;103.7;105;11.04;-0.078;0;0;1.49;1.49;0;5.21;88.4;12.516;-0.052;6.1;0
6/19/2024;16:03:17;0;greeenland;-0.01;7.21;0;-0.055;6.61;1.28;0;103.7;105;11.04;-0.078;0;0;1.47;1.47;0;5.21;88.2;12.518;-0.051;6.1;0
6/19/2024;16:03:19;0;greeenland;-0.01;7.2;0;-0.055;6.6;1.27;0;103.6;105;11.04;-0.078;0;0;1.49;1.49;0;5.21;88.2;12.516;-0.057;6.1;0
6/19/2024;16:03:21;0;greeenland;0.01;7.27;0;-0.055;6.61;1.28;0;103.6;105;11.04;-0.079;0;0;1.48;1.48;0;5.22;88;12.511;-0.051;6.1;0
6/19/2024;16:03:23;0;greeenland;0.02;7.3;0;-0.055;6.62;1.28;0;103.6;105;11.04;-0.078;0;0;1.46;1.46;0;5.22;87.7;12.507;-0.056;6.1;0
6/19/2024;16:03:25;0;greeenland;0.02;7.29;0;-0.055;6.64;1.29;0;103.6;105;11.04;-0.078;0;0;1.46;1.46;0;5.22;87.5;12.503;-0.049;6.1;0
6/19/2024;16:03:27;0;greeenland;0.02;7.29;0;-0.055;6.63;1.29;0;103.6;104.9;11.04;-0.078;0;0;1.45;1.45;0;5.23;87.4;12.497;-0.054;6.1;0
6/19/2024;16:03:29;0;greeenland;0.04;7.37;0;-0.055;6.63;1.29;0;103.5;104.9;11.04;-0.078;0;0;1.47;1.47;0;5.23;87.2;12.479;-0.05;6.1;0
6/19/2024;16:03:31;0;greeenland;0.02;7.29;0;-0.055;6.63;1.29;0;103.5;104.9;11.04;-0.078;0;0;1.51;1.51;0;5.23;87.1;12.459;-0.054;6.1;0
6/19/2024;16:03:33;0;greeenland;0.02;7.28;0;-0.055;6.64;1.29;0;103.5;104.9;11.04;-0.078;0;0;1.53;1.53;0;5.23;87.1;12.439;-0.053;6.1;0
6/19/2024;16:03:35;0;greeenland;0.01;7.27;0;-0.055;6.64;1.29;0;103.5;104.9;11.05;-0.078;0;0;1.52;1.52;0;5.23;86.9;12.425;-0.054;6.1;0
6/19/2024;16:03:37;0;greeenland;0.01;7.25;0;-0.055;6.62;1.28;0;103.5;104.9;11.05;-0.078;0;0;1.53;1.53;0;5.24;86.8;12.407;-0.056;6.1;0
6/19/2024;16:03:39;0;greeenland;0.02;7.28;0;-0.055;6.63;1.29;0;103.5;104.9;11.06;-0.078;0;0;1.54;1.54;0;5.24;86.7;12.385;-0.049;6.1;0
6/19/2024;16:03:41;0;greeenland;-0.01;7.21;0;-0.055;6.62;1.28;0;103.5;104.9;11.06;-0.078;0;0;1.56;1.56;0;5.24;86.5;12.37;-0.053;6.1;0
6/19/2024;16:03:43;0;greeenland;-0.02;7.17;0;-0.055;6.61;1.28;0;103.5;104.9;11.07;-0.078;0;0;1.56;1.56;0;5.24;86.3;12.364;-0.058;6.1;0
6/19/2024;16:03:45;0;greeenland;-0.04;7.12;0;-0.054;6.61;1.28;0;103.6;105;11.07;-0.077;0;0;1.55;1.55;0;5.25;86.3;12.366;-0.047;6.1;0
6/19/2024;16:03:47;0;greeenland;-0.03;7.15;0;-0.054;6.6;1.28;0;103.6;105;11.08;-0.077;0;0;1.57;1.57;0;5.25;86.2;12.365;-0.059;6.1;0
6/19/2024;16:03:49;0;greeenland;-0.04;7.11;0;-0.054;6.6;1.28;0;103.7;105;11.08;-0.077;0;0;1.55;1.55;0;5.25;86.1;12.366;-0.05;6.1;0
6/19/2024;16:03:51;0;greeenland;-0.05;7.08;0;-0.054;6.61;1.28;0;103.7;105.1;11.09;-0.077;0;0;1.54;1.54;0;5.25;86.1;12.378;-0.057;6.1;0
6/19/2024;16:03:53;0;greeenland;-0.03;7.13;0;-0.053;6.59;1.27;0;103.8;105.2;11.09;-0.076;0;0;1.56;1.56;0;5.25;86;12.395;-0.045;6.1;0
6/19/2024;16:03:55;0;greeenland;-0.02;7.18;0;-0.054;6.59;1.27;0;103.8;105.2;11.09;-0.076;0;0;1.56;1.56;0;5.25;86;12.408;-0.06;6.1;0
6/19/2024;16:03:57;0;greeenland;0;7.22;0;-0.053;6.6;1.27;0;103.8;105.2;11.09;-0.076;0;0;1.54;1.54;0;5.25;86;12.42;-0.047;6.1;0
6/19/2024;16:03:59;0;greeenland;-0.01;7.2;0;-0.054;6.59;1.27;0;103.9;105.2;11.09;-0.077;0;0;1.51;1.51;0;5.25;86.1;12.435;-0.062;6.1;0
6/19/2024;16:04:01;0;greeenland;-0.02;7.16;0;-0.054;6.59;1.27;0;103.9;105.3;11.08;-0.076;0;0;1.51;1.51;0;5.25;86;12.452;-0.054;6.1;0
6/19/2024;16:04:03;0;greeenland;0;7.24;0;-0.054;6.59;1.27;0;103.9;105.3;11.08;-0.077;0;0;1.51;1.51;0;5.25;85.9;12.463;-0.056;6.1;0
6/19/2024;16:04:05;0;greeenland;0.01;7.25;0;-0.054;6.59;1.27;0;103.9;105.2;11.08;-0.077;0;0;1.53;1.53;0;5.25;85.9;12.465;-0.054;6.1;0
6/19/2024;16:04:07;0;greeenland;0.01;7.27;0;-0.054;6.6;1.27;0;103.8;105.2;11.07;-0.077;0;0;1.53;1.53;0;5.25;85.9;12.461;-0.054;6.1;0
6/19/2024;16:04:09;0;greeenland;0;7.23;0;-0.054;6.59;1.27;0;103.8;105.2;11.08;-0.077;0;0;1.5;1.5;0;5.25;85.7;12.462;-0.057;6.1;0
6/19/2024;16:04:11;0;greeenland;0;7.24;0;-0.054;6.58;1.27;0;103.8;105.2;11.07;-0.077;0;0;1.49;1.49;0;5.26;85.6;12.462;-0.047;6.1;0
6/19/2024;16:04:13;0;greeenland;-0.01;7.21;0;-0.054;6.6;1.28;0;103.8;105.2;11.07;-0.077;0;0;1.47;1.47;0;5.26;85.6;12.46;-0.058;6.09;0
6/19/2024;16:04:15;0;greeenland;-0.02;7.18;0;-0.054;6.6;1.27;0;103.8;105.2;11.07;-0.077;0;0;1.49;1.49;0;5.26;85.5;12.455;-0.053;6.09;0
6/19/2024;16:04:17;0;greeenland;-0.03;7.14;0;-0.054;6.6;1.27;0;103.8;105.2;11.07;-0.077;0;0;1.49;1.49;0;5.26;85.4;12.448;-0.053;6.09;0
6/19/2024;16:04:19;0;greeenland;-0.03;7.14;0;-0.055;6.59;1.27;0;103.8;105.2;11.07;-0.078;0;0;1.48;1.48;0;5.26;85.4;12.446;-0.057;6.09;0
6/19/2024;16:04:21;0;greeenland;0;7.22;0;-0.055;6.59;1.27;0;103.8;105.2;11.07;-0.078;0;0;1.47;1.47;0;5.26;85.3;12.447;-0.054;6.09;0
6/19/2024;16:04:23;0;greeenland;0.01;7.27;0;-0.055;6.59;1.27;0;103.8;105.2;11.07;-0.078;0;0;1.49;1.49;0;5.26;85.3;12.443;-0.056;6.09;0
6/19/2024;16:04:25;0;greeenland;0.03;7.31;0;-0.055;6.61;1.28;0;103.8;105.2;11.07;-0.079;0;0;1.49;1.49;0;5.26;85.4;12.439;-0.065;6.09;0
6/19/2024;16:04:27;0;greeenland;0.04;7.34;0;-0.055;6.61;1.28;0;103.8;105.2;11.07;-0.079;0;0;1.49;1.49;0;5.26;85.4;12.434;-0.057;6.09;0
6/19/2024;16:04:29;0;greeenland;0.04;7.37;0;-0.055;6.63;1.28;0;103.8;105.2;11.08;-0.079;0;0;1.49;1.49;0;5.26;85.3;12.432;-0.056;6.09;0
6/19/2024;16:04:31;0;greeenland;0.03;7.32;0;-0.056;6.62;1.28;0;103.8;105.2;11.08;-0.079;0;0;1.49;1.49;0;5.26;85.2;12.432;-0.056;6.09;0
6/19/2024;16:04:33;0;greeenland;0.02;7.28;0;-0.056;6.62;1.28;0;103.8;105.2;11.08;-0.079;0;0;1.49;1.49;0;5.26;85.2;12.431;-0.061;6.09;0
6/19/2024;16:04:35;0;greeenland;0.02;7.29;0;-0.056;6.64;1.29;0;103.8;105.2;11.08;-0.079;0;0;1.49;1.49;0;5.27;85.1;12.432;-0.051;6.09;0
6/19/2024;16:04:37;0;greeenland;0.02;7.31;0;-0.056;6.64;1.29;0;103.9;105.2;11.08;-0.079;0;0;1.5;1.5;0;5.26;85.2;12.442;-0.059;6.09;0
6/19/2024;16:04:39;0;greeenland;0.02;7.3;0;-0.055;6.65;1.29;0;103.9;105.3;11.08;-0.079;0;0;1.5;1.5;0;5.26;85.2;12.455;-0.046;6.09;0
6/19/2024;16:04:41;0;greeenland;0.02;7.3;0;-0.055;6.65;1.29;0;103.9;105.3;11.08;-0.079;0;0;1.48;1.48;0;5.26;85.2;12.47;-0.062;6.09;0
6/19/2024;16:04:43;0;greeenland;0.01;7.27;0;-0.055;6.65;1.29;0;103.9;105.3;11.08;-0.079;0;0;1.48;1.48;0;5.26;85.3;12.482;-0.051;6.09;0
6/19/2024;16:04:45;0;greeenland;-0.01;7.22;0;-0.055;6.64;1.29;0;103.9;105.3;11.08;-0.079;0;0;1.48;1.48;0;5.26;85.3;12.497;-0.059;6.09;0
6/19/2024;16:04:47;0;greeenland;-0.03;7.15;0;-0.055;6.63;1.29;0;103.9;105.3;11.07;-0.079;0;0;1.48;1.48;0;5.26;85.4;12.517;-0.055;6.09;0
6/19/2024;16:04:49;0;greeenland;-0.03;7.15;0;-0.056;6.62;1.28;0;103.9;105.3;11.07;-0.079;0;0;1.51;1.51;0;5.26;85.4;12.535;-0.061;6.09;0
6/19/2024;16:04:51;0;greeenland;-0.03;7.13;0;-0.056;6.63;1.28;0;103.9;105.3;11.06;-0.079;0;0;1.5;1.5;0;5.26;85.6;12.547;-0.057;6.09;0
6/19/2024;16:04:53;0;greeenland;-0.03;7.14;0;-0.056;6.62;1.28;0;103.9;105.3;11.06;-0.079;0;0;1.49;1.49;0;5.26;85.7;12.555;-0.057;6.08;0
6/19/2024;16:04:55;0;greeenland;-0.03;7.15;0;-0.056;6.6;1.28;0;103.9;105.3;11.06;-0.079;0;0;1.5;1.5;0;5.25;85.9;12.557;-0.055;6.08;0
6/19/2024;16:04:57;0;greeenland;-0.01;7.2;0;-0.055;6.61;1.28;0;103.9;105.3;11.06;-0.079;0;0;1.49;1.49;0;5.25;86;12.562;-0.053;6.08;0
6/19/2024;16:04:59;0;greeenland;0;7.22;0;-0.056;6.61;1.28;0;103.9;105.2;11.05;-0.079;0;0;1.5;1.5;0;5.25;86;12.56;-0.057;6.08;0
6/19/2024;16:05:01;0;greeenland;0;7.24;0;-0.055;6.6;1.27;0;103.8;105.2;11.05;-0.079;0;0;1.52;1.52;0;5.25;86;12.547;-0.048;6.08;0
6/19/2024;16:05:03;0;greeenland;0.02;7.29;0;-0.055;6.59;1.27;0;103.8;105.2;11.05;-0.079;0;0;1.5;1.5;0;5.25;86.1;12.528;-0.058;6.08;0
6/19/2024;16:05:05;0;greeenland;0.02;7.31;0;-0.055;6.6;1.27;0;103.8;105.1;11.05;-0.078;0;0;1.51;1.51;0;5.25;86;12.513;-0.05;6.08;0
6/19/2024;16:05:07;0;greeenland;0.02;7.3;0;-0.055;6.61;1.28;0;103.8;105.2;11.06;-0.079;0;0;1.51;1.51;0;5.25;85.8;12.505;-0.053;6.08;0
6/19/2024;16:05:09;0;greeenland;0.03;7.34;0;-0.055;6.62;1.28;0;103.8;105.2;11.06;-0.078;0;0;1.51;1.51;0;5.25;85.8;12.506;-0.055;6.08;0
6/19/2024;16:05:11;0;greeenland;0.04;7.36;0;-0.055;6.63;1.28;0;103.9;105.3;11.07;-0.078;0;0;1.53;1.53;0;5.26;85.7;12.509;-0.057;6.08;0
6/19/2024;16:05:13;0;greeenland;0.06;7.4;0;-0.055;6.63;1.29;0;103.9;105.3;11.07;-0.078;0;0;1.53;1.53;0;5.26;85.7;12.518;-0.055;6.08;0
6/19/2024;16:05:15;0;greeenland;0.05;7.39;0;-0.055;6.64;1.29;0;104;105.4;11.07;-0.078;0;0;1.54;1.54;0;5.26;85.7;12.53;-0.058;6.08;0
6/19/2024;16:05:17;0;greeenland;0.05;7.38;0;-0.055;6.64;1.29;0;104;105.4;11.07;-0.078;0;0;1.55;1.55;0;5.26;85.7;12.539;-0.056;6.08;0
6/19/2024;16:05:19;0;greeenland;0.04;7.37;0;-0.055;6.65;1.29;0;104;105.4;11.07;-0.079;0;0;1.53;1.53;0;5.26;85.6;12.548;-0.058;6.08;0
6/19/2024;16:05:21;0;greeenland;0.01;7.27;0;-0.055;6.66;1.29;0;104;105.4;11.07;-0.079;0;0;1.52;1.52;0;5.26;85.6;12.545;-0.053;6.08;0
6/19/2024;16:05:23;0;greeenland;0;7.22;0;-0.055;6.66;1.3;0;103.9;105.3;11.07;-0.079;0;0;1.52;1.52;0;5.26;85.6;12.532;-0.062;6.08;0
6/19/2024;16:05:25;0;greeenland;0;7.22;0;-0.055;6.67;1.3;0;103.9;105.3;11.07;-0.079;0;0;1.5;1.5;0;5.26;85.5;12.515;-0.053;6.08;0
6/19/2024;16:05:27;0;greeenland;0.01;7.27;0;-0.055;6.66;1.29;0;103.9;105.2;11.07;-0.079;0;0;1.5;1.5;0;5.26;85.5;12.496;-0.061;6.08;0
6/19/2024;16:05:29;0;greeenland;0.01;7.26;0;-0.055;6.66;1.29;0;103.8;105.2;11.07;-0.079;0;0;1.5;1.5;0;5.26;85.6;12.475;-0.052;6.08;0
6/19/2024;16:05:31;0;greeenland;0.01;7.26;0;-0.055;6.66;1.3;0;103.8;105.2;11.07;-0.079;0;0;1.49;1.49;0;5.26;85.7;12.452;-0.06;6.08;0
6/19/2024;16:05:33;0;greeenland;0.01;7.25;0;-0.055;6.66;1.29;0;103.8;105.2;11.08;-0.078;0;0;1.48;1.48;0;5.26;85.7;12.431;-0.048;6.08;0
6/19/2024;16:05:35;0;greeenland;0.02;7.3;0;-0.055;6.65;1.29;0;103.8;105.2;11.08;-0.079;0;0;1.47;1.47;0;5.26;85.6;12.421;-0.054;6.08;0
6/19/2024;16:05:37;0;greeenland;0;7.23;0;-0.055;6.64;1.29;0;103.8;105.2;11.09;-0.078;0;0;1.47;1.47;0;5.26;85.5;12.415;-0.052;6.08;0
6/19/2024;16:05:39;0;greeenland;0.03;7.31;0;-0.055;6.63;1.29;0;103.9;105.2;11.09;-0.078;0;0;1.49;1.49;0;5.26;85.4;12.412;-0.053;6.08;0
6/19/2024;16:05:41;0;greeenland;0.03;7.31;0;-0.055;6.64;1.29;0;103.9;105.3;11.09;-0.078;0;0;1.48;1.48;0;5.26;85.3;12.409;-0.059;6.08;0
6/19/2024;16:05:43;0;greeenland;0.02;7.29;0;-0.055;6.64;1.29;0;103.9;105.3;11.09;-0.078;0;0;1.45;1.45;0;5.26;85.3;12.41;-0.049;6.08;0
6/19/2024;16:05:45;0;greeenland;0.04;7.36;0;-0.055;6.64;1.29;0;103.9;105.3;11.1;-0.078;0;0;1.47;1.47;0;5.27;85.1;12.411;-0.055;6.08;0
6/19/2024;16:05:47;0;greeenland;0.04;7.35;0;-0.055;6.63;1.28;0;103.9;105.3;11.09;-0.078;0;0;1.46;1.46;0;5.27;85.1;12.409;-0.047;6.08;0
6/19/2024;16:05:49;0;greeenland;0.05;7.4;0;-0.055;6.62;1.28;0;103.9;105.3;11.09;-0.078;0;0;1.46;1.46;0;5.27;85.1;12.403;-0.061;6.08;0
6/19/2024;16:05:51;0;greeenland;0.03;7.31;0;-0.055;6.61;1.28;0;103.9;105.2;11.1;-0.078;0;0;1.45;1.45;0;5.27;85.1;12.39;-0.053;6.08;0
6/19/2024;16:05:53;0;greeenland;0.02;7.3;0;-0.055;6.62;1.28;0;103.8;105.2;11.1;-0.079;0;0;1.44;1.44;0;5.27;85;12.38;-0.062;6.08;0
6/19/2024;16:05:55;0;greeenland;0;7.24;0;-0.055;6.61;1.28;0;103.8;105.2;11.1;-0.078;0;0;1.45;1.45;0;5.27;84.9;12.372;-0.053;6.08;0
6/19/2024;16:05:57;0;greeenland;-0.02;7.16;0;-0.055;6.6;1.27;0;103.8;105.2;11.1;-0.079;0;0;1.45;1.45;0;5.27;84.8;12.366;-0.055;6.08;0
6/19/2024;16:05:59;0;greeenland;-0.02;7.18;0;-0.055;6.61;1.28;0;103.8;105.2;11.1;-0.078;0;0;1.45;1.45;0;5.27;84.7;12.361;-0.056;6.08;0
6/19/2024;16:06:01;0;greeenland;-0.03;7.15;0;-0.055;6.61;1.28;0;103.8;105.2;11.1;-0.078;0;0;1.46;1.46;0;5.27;84.7;12.358;-0.051;6.08;0
6/19/2024;16:06:03;0;greeenland;-0.02;7.16;0;-0.055;6.61;1.28;0;103.8;105.2;11.1;-0.078;0;0;1.48;1.48;0;5.27;84.6;12.353;-0.055;6.08;0
6/19/2024;16:06:05;0;greeenland;-0.02;7.17;0;-0.055;6.61;1.28;0;103.8;105.2;11.1;-0.078;0;0;1.46;1.46;0;5.28;84.5;12.345;-0.047;6.08;0
6/19/2024;16:06:07;0;greeenland;-0.01;7.19;0;-0.055;6.61;1.28;0;103.8;105.2;11.11;-0.078;0;0;1.47;1.47;0;5.28;84.4;12.338;-0.057;6.08;0
6/19/2024;16:06:09;0;greeenland;-0.01;7.2;0;-0.055;6.61;1.28;0;103.8;105.2;11.11;-0.078;0;0;1.5;1.5;0;5.28;84.4;12.33;-0.051;6.08;0
6/19/2024;16:06:11;0;greeenland;-0.01;7.21;0;-0.055;6.6;1.27;0;103.8;105.2;11.11;-0.078;0;0;1.52;1.52;0;5.28;84.3;12.321;-0.055;6.08;0
6/19/2024;16:06:13;0;greeenland;-0.03;7.15;0;-0.055;6.61;1.28;0;103.8;105.2;11.11;-0.078;0;0;1.52;1.52;0;5.28;84.1;12.312;-0.055;6.08;0
6/19/2024;16:06:15;0;greeenland;-0.01;7.19;0;-0.055;6.61;1.28;0;103.9;105.2;11.11;-0.078;0;0;1.53;1.53;0;5.29;84;12.311;-0.054;6.08;0
6/19/2024;16:06:17;0;greeenland;0;7.23;0;-0.055;6.61;1.28;0;103.9;105.2;11.11;-0.078;0;0;1.52;1.52;0;5.29;83.9;12.312;-0.056;6.08;0
6/19/2024;16:06:19;0;greeenland;0.01;7.26;0;-0.055;6.61;1.28;0;103.9;105.3;11.11;-0.079;0;0;1.52;1.52;0;5.29;83.9;12.319;-0.057;6.08;0
6/19/2024;16:06:21;0;greeenland;-0.01;7.22;0;-0.055;6.61;1.28;0;103.9;105.2;11.11;-0.079;0;0;1.52;1.52;0;5.29;84;12.32;-0.056;6.08;0
6/19/2024;16:06:23;0;greeenland;0.01;7.25;0;-0.055;6.61;1.28;0;103.9;105.2;11.11;-0.079;0;0;1.53;1.53;0;5.28;84;12.324;-0.06;6.08;0
6/19/2024;16:06:25;0;greeenland;0.02;7.28;0;-0.055;6.62;1.28;0;103.9;105.2;11.11;-0.079;0;0;1.52;1.52;0;5.28;84.1;12.332;-0.052;6.08;0
6/19/2024;16:06:27;0;greeenland;0;7.24;0;-0.056;6.61;1.28;0;103.8;105.2;11.11;-0.079;0;0;1.51;1.51;0;5.28;84.1;12.338;-0.06;6.08;0
6/19/2024;16:06:29;0;greeenland;-0.02;7.18;0;-0.056;6.62;1.28;0;103.8;105.2;11.11;-0.079;0;0;1.5;1.5;0;5.28;84.1;12.336;-0.056;6.08;0
6/19/2024;16:06:31;0;greeenland;0;7.24;0;-0.055;6.63;1.29;0;103.8;105.2;11.11;-0.079;0;0;1.48;1.48;0;5.29;84;12.333;-0.06;6.08;0
6/19/2024;16:06:33;0;greeenland;-0.01;7.19;0;-0.055;6.64;1.29;0;103.9;105.2;11.11;-0.079;0;0;1.48;1.48;0;5.29;83.9;12.332;-0.05;6.08;0
6/19/2024;16:06:35;0;greeenland;0;7.22;0;-0.055;6.64;1.29;0;103.9;105.2;11.11;-0.079;0;0;1.49;1.49;0;5.29;83.9;12.334;-0.058;6.08;0
6/19/2024;16:06:37;0;greeenland;0;7.23;0;-0.055;6.63;1.29;0;103.9;105.3;11.11;-0.079;0;0;1.48;1.48;0;5.29;83.8;12.334;-0.051;6.08;0
6/19/2024;16:06:39;0;greeenland;0.01;7.26;0;-0.056;6.65;1.29;0;103.9;105.2;11.11;-0.079;0;0;1.47;1.47;0;5.29;83.7;12.333;-0.056;6.08;0
6/19/2024;16:06:41;0;greeenland;0.01;7.27;0;-0.055;6.65;1.29;0;103.9;105.3;11.11;-0.079;0;0;1.49;1.49;0;5.29;83.5;12.334;-0.053;6.08;0
6/19/2024;16:06:43;0;greeenland;0.01;7.26;0;-0.056;6.66;1.29;0;103.9;105.2;11.11;-0.079;0;0;1.5;1.5;0;5.3;83.4;12.33;-0.056;6.08;0
6/19/2024;16:06:45;0;greeenland;0.02;7.28;0;-0.055;6.64;1.29;0;103.8;105.2;11.11;-0.078;0;0;1.48;1.48;0;5.3;83.3;12.319;-0.048;6.08;0
6/19/2024;16:06:47;0;greeenland;0.01;7.27;0;-0.055;6.63;1.29;0;103.8;105.2;11.11;-0.079;0;0;1.48;1.48;0;5.3;83.3;12.307;-0.053;6.08;0
6/19/2024;16:06:49;0;greeenland;0;7.24;0;-0.055;6.63;1.28;0;103.8;105.2;11.11;-0.078;0;0;1.49;1.49;0;5.3;83.3;12.292;-0.055;6.08;0
6/19/2024;16:06:51;0;greeenland;-0.01;7.2;0;-0.055;6.62;1.28;0;103.8;105.1;11.11;-0.078;0;0;1.49;1.49;0;5.3;83.2;12.274;-0.049;6.08;0
6/19/2024;16:06:53;0;greeenland;0;7.22;0;-0.055;6.62;1.28;0;103.7;105.1;11.11;-0.078;0;0;1.48;1.48;0;5.3;83.3;12.255;-0.056;6.08;0
6/19/2024;16:06:55;0;greeenland;0;7.23;0;-0.055;6.62;1.28;0;103.7;105.1;11.12;-0.078;0;0;1.49;1.49;0;5.3;83.4;12.236;-0.053;6.08;0
6/19/2024;16:06:57;0;greeenland;0.01;7.26;0;-0.055;6.62;1.28;0;103.7;105.1;11.12;-0.078;0;0;1.51;1.51;0;5.29;83.4;12.221;-0.059;6.08;0
6/19/2024;16:06:59;0;greeenland;0.03;7.32;0;-0.055;6.6;1.28;0;103.7;105.1;11.12;-0.078;0;0;1.51;1.51;0;5.29;83.5;12.214;-0.052;6.08;0
6/19/2024;16:07:01;0;greeenland;0.01;7.27;0;-0.055;6.6;1.28;0;103.7;105.1;11.13;-0.078;0;0;1.49;1.49;0;5.29;83.6;12.206;-0.053;6.08;0
6/19/2024;16:07:03;0;greeenland;0;7.23;0;-0.055;6.6;1.28;0;103.8;105.1;11.13;-0.078;0;0;1.51;1.51;0;5.29;83.6;12.202;-0.055;6.08;0
6/19/2024;16:07:05;0;greeenland;0.01;7.28;0;-0.055;6.62;1.28;0;103.8;105.2;11.13;-0.078;0;0;1.52;1.52;0;5.29;83.6;12.204;-0.06;6.08;0
6/19/2024;16:07:07;0;greeenland;0.01;7.27;0;-0.055;6.63;1.28;0;103.8;105.2;11.14;-0.078;0;0;1.54;1.54;0;5.29;83.6;12.207;-0.057;6.08;0
6/19/2024;16:07:09;0;greeenland;0.01;7.26;0;-0.055;6.64;1.29;0;103.8;105.2;11.14;-0.078;0;0;1.55;1.55;0;5.29;83.6;12.215;-0.06;6.08;0
6/19/2024;16:07:11;0;greeenland;0.01;7.25;0;-0.055;6.64;1.29;0;103.9;105.2;11.14;-0.078;0;0;1.56;1.56;0;5.35;80.5;12.222;-0.056;6.08;0
6/19/2024;16:07:13;0;greeenland;0.01;7.25;0;-0.055;6.64;1.29;0;103.9;105.2;11.14;-0.078;0;0;1.55;1.55;0;5.26;85.1;12.226;-0.057;6.08;0
6/19/2024;16:07:15;0;greeenland;0.01;7.26;0;-0.055;6.64;1.29;0;103.8;105.2;11.13;-0.078;0;0;1.53;1.53;0;5.49;72.4;12.23;-0.05;6.08;0
6/19/2024;16:07:17;0;greeenland;0.01;7.27;0;-0.055;6.65;1.29;0;103.8;105.2;11.13;-0.078;0;0;1.52;1.52;0;5.46;74;12.233;-0.053;6.08;0
